price;rooms;area;district;building
226298.17;4;76.4;Krzyki;high-rise
128121.35;1;19.4;Biskupin;high-rise
118333.42;1;21.5;Srodmiescie;high-rise
202064.16;4;65.2;Srodmiescie;high-rise
130303.00;1;21.4;Krzyki;high-rise
156241.89;2;35.8;Biskupin;high-rise
186732.01;2;41.1;Biskupin;tenement
98925.66;1;18.1;Krzyki;tenement
193186.71;3;54.6;Srodmiescie;high-rise
116306.58;1;18.9;Krzyki;high-rise
200661.77;3;60.4;Biskupin;tenement
120513.56;1;17.0;Srodmiescie;tenement
165908.86;3;46.2;Krzyki;tenement
149856.6;2;37.9;Krzyki;tenement
136640.17;2;30.6;Srodmiescie;tenement
143616.79;2;34.8;Krzyki;high-rise
146439.27;2;29.8;Biskupin;high-rise
158608.89;2;35.5;Krzyki;low-rise
204529.65;3;61.3;Srodmiescie;tenement
186816.07;4;63.2;Krzyki;tenement
172528.26;3;45.1;Biskupin;high-rise
245845.93;4;80.3;Srodmiescie;low-rise
123690.76;1;19.3;Biskupin;high-rise
149943.62;2;32.4;Srodmiescie;tenement
149948.18;2;32.4;Srodmiescie;tenement
214461.62;3;49.6;Biskupin;low-rise
199465.03;3;44.0;Biskupin;tenement
93055.36;1;17.9;Krzyki;high-rise
140947.96;2;35.6;Krzyki;high-rise
214379.62;3;64.7;Krzyki;high-rise
244760.22;4;68.5;Krzyki;low-rise
132012.89;1;17.4;Srodmiescie;low-rise
180516.55;3;53.0;Srodmiescie;low-rise
140133.37;2;29.6;Srodmiescie;high-rise
210290.58;3;52.3;Biskupin;low-rise
184713.03;3;47.9;Krzyki;high-rise
203449.34;3;59.4;Krzyki;low-rise
212056.29;4;70.3;Krzyki;high-rise
194037.54;3;62.0;Krzyki;tenement
108383.14;1;21.1;Krzyki;tenement
127348.95;1;21.9;Srodmiescie;high-rise
243336.45;4;81.8;Srodmiescie;low-rise
202248.22;4;62.0;Krzyki;tenement
140150.46;2;29.9;Krzyki;tenement
185345.69;4;53.6;Krzyki;tenement
224902.78;4;67.4;Krzyki;high-rise
175233.29;2;43.1;Krzyki;low-rise
220714.05;4;69.7;Biskupin;high-rise
295761.8;4;87.7;Biskupin;low-rise
120289.78;1;18.0;Biskupin;high-rise
197769.6;3;41.2;Biskupin;low-rise
159804.62;3;42.0;Krzyki;low-rise
166560.53;2;36.3;Biskupin;low-rise
209165.27;3;54.4;Biskupin;tenement
208599.19;3;63.5;Krzyki;low-rise
155264.66;2;31.0;Srodmiescie;low-rise
135106.81;1;18.4;Biskupin;tenement
205702.34;2;43.7;Srodmiescie;low-rise
186123.06;3;55.4;Srodmiescie;low-rise
189860.22;3;57.7;Srodmiescie;tenement
110566.55;1;19.6;Krzyki;high-rise
101188.78;1;20.6;Krzyki;high-rise
161366.39;2;38.5;Krzyki;low-rise
217035.43;3;63.8;Krzyki;low-rise
99170.8;1;18.3;Krzyki;tenement
239440.9;4;79.5;Srodmiescie;high-rise
211177.75;4;69.4;Biskupin;low-rise
242341.98;4;72.8;Krzyki;low-rise
208188.79;3;50.7;Biskupin;low-rise
176134.23;2;42.7;Srodmiescie;low-rise
157917.4;2;35.4;Biskupin;tenement
219082.15;3;57.2;Biskupin;low-rise
237783.73;4;83.3;Srodmiescie;tenement
209267.87;3;62.5;Biskupin;tenement
120461.81;1;18.5;Krzyki;low-rise
122450.66;1;20.6;Srodmiescie;tenement
160509.06;3;41.8;Krzyki;high-rise
189109.19;2;43.2;Biskupin;low-rise
181191.93;3;59.7;Krzyki;tenement
177478.44;3;48.5;Srodmiescie;high-rise
144072.05;2;40.5;Krzyki;low-rise
220745.37;4;73.8;Srodmiescie;high-rise
139292.92;2;37.2;Krzyki;tenement
114348.44;1;21.1;Srodmiescie;tenement
205710.6;3;55.2;Biskupin;tenement
165787.81;2;41.3;Krzyki;low-rise
202995.09;3;58.1;Biskupin;high-rise
170220.94;3;54.0;Krzyki;low-rise
146474.62;3;45.8;Krzyki;high-rise
173423.77;2;40.4;Biskupin;high-rise
160144.27;2;39.2;Srodmiescie;tenement
220532.34;4;76.8;Srodmiescie;tenement
128746.53;1;18.2;Krzyki;high-rise
88643.77;1;17.4;Krzyki;high-rise
103749.02;1;21.7;Srodmiescie;high-rise
137258.18;1;18.6;Srodmiescie;low-rise
221264.72;3;61.4;Srodmiescie;low-rise
157323.9;3;48.3;Krzyki;high-rise
207450.39;3;61.4;Biskupin;tenement
218154.14;3;55.7;Biskupin;low-rise
113563.76;1;18.2;Krzyki;high-rise
126583.95;1;20.0;Srodmiescie;low-rise
144701.08;2;35.0;Krzyki;high-rise
155730.23;2;37.1;Srodmiescie;high-rise
228235.61;4;66.2;Biskupin;tenement
198458.19;4;62.0;Srodmiescie;high-rise
114905.1;1;17.5;Krzyki;low-rise
103983.28;1;17.9;Srodmiescie;high-rise
170908.24;3;43.6;Srodmiescie;high-rise
180234.64;3;43.2;Srodmiescie;low-rise
150866.99;2;35.5;Biskupin;tenement
208477.29;4;60.4;Biskupin;high-rise
189539.0;3;54.4;Krzyki;tenement
183703.69;2;42.7;Srodmiescie;low-rise
158914.43;2;31.2;Biskupin;tenement
189290.77;3;41.5;Biskupin;high-rise
136697.39;2;33.3;Krzyki;high-rise
252417.64;4;85.7;Krzyki;high-rise
235344.31;4;86.6;Krzyki;tenement
149595.22;3;44.1;Krzyki;tenement
166258.53;2;43.4;Krzyki;high-rise
156891.05;2;43.7;Srodmiescie;high-rise
112062.67;1;19.3;Srodmiescie;tenement
220996.43;4;61.2;Biskupin;low-rise
83279.87;1;20.0;Krzyki;high-rise
224098.13;4;69.6;Srodmiescie;tenement
200898.55;3;53.9;Srodmiescie;low-rise
220487.44;4;67.1;Srodmiescie;low-rise
111195.38;1;18.4;Krzyki;high-rise
162337.64;2;35.9;Krzyki;low-rise
243263.51;4;73.8;Biskupin;high-rise
148636.0;1;20.5;Biskupin;high-rise
244001.64;4;78.6;Biskupin;tenement
165886.92;3;45.0;Srodmiescie;high-rise
137938.13;1;20.7;Biskupin;high-rise
250527.44;4;84.2;Krzyki;low-rise
192476.34;3;61.2;Srodmiescie;tenement
125464.95;1;17.1;Biskupin;tenement
278927.59;4;87.5;Biskupin;low-rise
164815.95;3;41.9;Srodmiescie;high-rise
222895.7;3;63.6;Biskupin;tenement
147475.68;2;35.2;Srodmiescie;high-rise
113736.5;1;17.5;Krzyki;high-rise
175608.86;2;40.4;Biskupin;tenement
257779.21;4;83.7;Biskupin;tenement
193051.3;4;62.8;Krzyki;tenement
140816.07;2;30.3;Krzyki;high-rise
240172.04;4;82.5;Krzyki;high-rise
237764.41;4;84.8;Krzyki;tenement
156390.02;2;35.2;Biskupin;tenement
227027.31;4;74.4;Krzyki;high-rise
219174.29;3;64.7;Biskupin;high-rise
174636.79;3;55.5;Krzyki;high-rise
172833.83;3;50.2;Krzyki;high-rise
170070.45;2;42.6;Biskupin;tenement
152117.18;1;17.6;Biskupin;tenement
208534.35;3;52.3;Biskupin;high-rise
222354.8;4;69.7;Krzyki;low-rise
186525.5;4;53.4;Biskupin;high-rise
151556.69;2;43.1;Krzyki;high-rise
158036.36;2;31.5;Srodmiescie;low-rise
191667.57;4;56.0;Krzyki;low-rise
165017.04;2;31.7;Biskupin;low-rise
193424.6;4;55.7;Krzyki;low-rise
213972.15;4;71.4;Krzyki;high-rise
187012.7;3;52.9;Srodmiescie;low-rise
217513.74;4;66.5;Srodmiescie;low-rise
120973.25;1;21.0;Srodmiescie;low-rise
248893.04;4;83.6;Krzyki;low-rise
149902.97;2;40.5;Srodmiescie;low-rise
115372.91;1;19.8;Krzyki;low-rise
214730.38;3;61.4;Biskupin;high-rise
203659.76;3;50.3;Biskupin;high-rise
124882.95;1;21.8;Srodmiescie;high-rise
284918.48;4;87.5;Biskupin;tenement
202351.98;3;52.3;Biskupin;tenement
185705.46;3;49.7;Krzyki;low-rise
217603.33;3;59.3;Srodmiescie;low-rise
126914.76;1;18.7;Biskupin;high-rise
223571.58;3;65.2;Biskupin;tenement
201396.16;3;52.9;Srodmiescie;high-rise
160994.25;2;34.2;Srodmiescie;low-rise
96257.94;1;18.8;Krzyki;tenement
188118.0;3;43.8;Biskupin;low-rise
137932.35;1;19.7;Biskupin;low-rise
192672.25;4;61.5;Krzyki;tenement
159952.91;2;31.2;Biskupin;tenement
135116.05;1;18.1;Biskupin;high-rise
179641.33;2;36.0;Biskupin;tenement
249970.46;4;74.8;Biskupin;low-rise
138568.41;2;32.9;Krzyki;high-rise
142365.84;1;19.6;Biskupin;low-rise
156655.41;2;37.3;Biskupin;tenement
219932.64;4;69.3;Krzyki;tenement
128388.52;1;21.2;Srodmiescie;high-rise
146754.24;2;41.9;Krzyki;low-rise
170525.14;4;53.3;Krzyki;high-rise
215650.43;4;82.8;Krzyki;tenement
168853.5;2;40.1;Krzyki;low-rise
175606.84;3;51.3;Biskupin;high-rise
